Last Name,Nationality,Date of Birth,Team,Total Goals,Shots Created per 90 Minutes,Assists
Butler,Brazil,27/06/1984,Chelsea,14,4.87,9
Brown,Belgium,04/08/1998,Arsenal,14,4.95,12
Moran,England,28/04/2002,Arsenal,14,1.08,5
Marks,Denmark,24/06/1988,Newcastle United,14,1.38,9
Anderson,Brazil,24/07/2002,Liverpool,14,4.31,14
Logan,Portugal,01/04/1997,Newcastle United,14,2.71,4
Weiss,Scotland,22/02/1999,Manchester United,14,4.22,1
Hester,Argentina,26/05/1994,Tottenham Hotspur,14,2.85,13
Martinez,Netherlands,01/12/2006,Manchester City,14,3.98,4
Oliver,Italy,30/12/2001,Leicester City,14,1.1,3
Collins,Italy,06/08/2005,Manchester City,14,2.26,8
Cruz,Belgium,03/04/1998,Leeds United,14,3.34,2
Henry,Germany,09/04/1994,Arsenal,14,3.93,12
Harris,Brazil,26/03/1988,Leeds United,14,0.84,12
Stark,Uruguay,23/10/2004,Arsenal,14,4.19,2
Estrada,Netherlands,05/03/2005,Aston Villa,14,1.57,3
Frank,Argentina,16/04/2003,Everton,14,1.92,2
Richards,Argentina,31/07/1996,West Ham United,13,2.49,7
Aguirre,Scotland,13/07/1990,Tottenham Hotspur,13,3.86,15
Green,Brazil,20/06/1984,Arsenal,13,4.88,11
Cowan,France,14/05/2003,Everton,13,2.24,14
Perry,Brazil,16/03/1988,Manchester United,13,1.87,8
Pratt,Belgium,15/05/1990,Liverpool,13,4.51,14
Martinez,France,03/06/1985,Liverpool,13,1.55,5
Riddle,Italy,27/07/1991,Aston Villa,13,1.53,4
Wu,Argentina,20/12/1993,Aston Villa,13,4.49,1
Riley,Brazil,08/02/1986,Leicester City,13,4.43,7
Evans,Italy,29/08/1990,Liverpool,13,0.98,12
Fritz,Brazil,15/04/1993,Chelsea,13,1.57,1
Hernandez,Argentina,24/06/1988,Leicester City,13,4.87,5
Vaughan,France,09/08/1991,Manchester City,13,4.88,6
Guerrero,Scotland,18/02/1985,Aston Villa,13,2.75,9
West,Sweden,10/02/1999,Leicester City,13,1.37,11
Schneider,Sweden,16/11/1999,Leeds United,13,1,11
Obrien,England,23/02/1991,Leeds United,13,4.21,9
Buchanan,Portugal,08/10/1990,Newcastle United,13,2.88,11
Hess,Argentina,10/10/1997,Arsenal,13,3.55,10
Jones,Portugal,27/04/1992,Newcastle United,13,2.17,14
Reynolds,France,01/02/2003,Manchester United,13,0.68,9
Gibson,Argentina,23/05/1999,Manchester United,13,4.41,15
Young,England,25/12/1998,Liverpool,13,4.69,5
Baird,Argentina,18/05/1994,Everton,13,1.14,6
Hodge,Spain,28/03/1986,Leeds United,13,4.22,15
Griffin,Scotland,20/07/1988,Arsenal,13,3.38,15
Murphy,Argentina,14/02/1984,West Ham United,13,0.79,5
Jones,Germany,12/11/2001,West Ham United,13,3.96,6
Schultz,Spain,05/10/1984,Arsenal,13,2.67,2
Reynolds,Portugal,03/05/1989,West Ham United,13,3.09,6
Ritter,England,19/10/1985,Liverpool,13,1.29,4
Chavez,Argentina,12/11/2006,Newcastle United,13,2.28,8
Greene,Sweden,01/01/1997,Everton,13,3.69,10
Delgado,Portugal,04/06/1984,West Ham United,13,3.03,0
Wright,Sweden,25/02/1997,Everton,13,4.42,1
Clayton,Scotland,09/07/1997,Tottenham Hotspur,13,4.29,14
Long,Brazil,22/06/1998,Aston Villa,13,4.93,11
Madden,Belgium,30/07/1998,West Ham United,13,2.4,6
Shields,Netherlands,18/05/2000,Everton,13,1.9,5
Franklin,Netherlands,02/04/2001,Manchester United,13,4.66,8
Johnston,Sweden,24/12/1993,Chelsea,13,4.15,3
Flowers,Sweden,09/09/1993,Everton,13,1.96,1
Black,England,20/09/2006,Chelsea,13,2.76,12
Klein,Netherlands,24/03/1995,Leeds United,13,0.73,3
Villanueva,Germany,11/08/2005,Manchester United,13,2.61,8
Marshall,Uruguay,17/03/1995,Everton,13,3.13,3
Sellers,Netherlands,05/07/2003,Leicester City,13,4.66,13
Blake,Italy,01/09/1991,Arsenal,13,2.71,4
Hunt,Sweden,27/09/1991,Everton,13,2.68,3
Meyer,Scotland,04/07/2003,Chelsea,13,2.48,2
Owens,Denmark,10/03/1987,Newcastle United,13,1.42,3
Davis,Brazil,29/06/1987,Leicester City,13,1.63,3
Arellano,Netherlands,16/06/1985,West Ham United,13,0.77,5
Martin,Denmark,11/12/2005,Aston Villa,13,1.05,11
Powell,Italy,31/01/1992,Manchester City,13,2.51,3
Norton,Brazil,27/05/1995,Manchester United,13,1.52,9
Burns,Brazil,13/10/1985,Newcastle United,13,0.54,4
Schwartz,Brazil,12/09/1984,Manchester United,13,1.36,14
Bell,Sweden,14/12/1990,Newcastle United,13,4.5,3
Sanchez,Belgium,04/10/1990,Tottenham Hotspur,13,4.97,2
Jones,France,21/07/1993,Leeds United,13,2.45,7
Chan,Italy,29/10/1984,Liverpool,13,3.92,9
Kim,Portugal,06/08/1994,Everton,13,1.06,4
Davis,Netherlands,25/03/1998,Aston Villa,13,3.57,6
Colon,Sweden,27/01/2002,Arsenal,13,1.97,6
Lane,Denmark,25/10/1994,Tottenham Hotspur,13,4.15,3
Daniels,Sweden,13/03/1997,Newcastle United,13,4.97,7
Hughes,Italy,25/02/2006,Everton,13,3.91,7
Williams,France,12/09/2005,Newcastle United,13,2.5,10
Moody,Denmark,29/06/1985,Tottenham Hotspur,13,3.05,10
Ramirez,Netherlands,27/06/1996,Leeds United,13,4.12,5
Haynes,Portugal,11/09/1997,Leeds United,13,1.52,11
Copeland,Spain,14/06/1994,Tottenham Hotspur,13,1.9,12
Nielsen,Argentina,30/08/1989,Newcastle United,13,4.97,13
Smith,Netherlands,31/10/1996,Tottenham Hotspur,13,1.85,2
Webb,Italy,17/08/1996,Leicester City,13,1.88,7
Castaneda,Denmark,30/11/1987,Arsenal,13,4.21,0
Lee,England,09/06/2001,Leeds United,13,1.7,10
Andrews,England,07/06/1992,Liverpool,13,2.91,4
Dominguez,Germany,01/04/1998,Chelsea,13,3.39,11
Nelson,France,07/08/1998,Tottenham Hotspur,13,2.25,7
Banks,Italy,28/03/1988,Liverpool,13,1.29,13
Howe,Denmark,12/09/1985,Manchester United,13,1.55,11
Collins,Portugal,10/06/2003,West Ham United,13,4.04,15
Hanson,Argentina,20/02/2003,West Ham United,13,3.02,15
Townsend,Belgium,07/03/1994,Chelsea,13,4.31,13
Williams,Uruguay,07/12/1988,Arsenal,13,4.98,3
Salinas,Denmark,22/05/1998,Aston Villa,13,3.39,6
Reed,Spain,12/12/1991,Aston Villa,13,2.46,5
Guzman,Spain,24/04/2000,Tottenham Hotspur,13,4.64,8
Johnson,Spain,10/06/1998,Arsenal,13,3.07,11
White,Scotland,19/03/1984,West Ham United,13,1.9,5
Smith,Uruguay,07/04/2002,Everton,13,2.14,2
Pena,Uruguay,27/09/1992,Leicester City,13,4.63,15
Flores,Scotland,30/06/2004,Chelsea,13,0.73,5
Edwards,Argentina,22/04/1988,Leeds United,13,1.58,10
Case,Uruguay,27/02/2002,Tottenham Hotspur,13,2.75,13
Acosta,Netherlands,21/10/1994,Manchester City,13,2.44,0
Jefferson,Brazil,11/06/2006,Leeds United,13,3.82,10
Davis,Portugal,30/04/1987,West Ham United,13,4.99,4
Huerta,Germany,17/04/1998,West Ham United,13,2.82,1
Harris,Portugal,01/07/2006,Manchester United,13,0.68,7
Hill,Sweden,01/11/1989,Manchester United,13,2.48,3
Hernandez,Denmark,18/11/1993,West Ham United,13,1.4,3
Small,Denmark,23/02/1992,Liverpool,13,4.98,14
Munoz,Sweden,19/04/2002,Liverpool,13,1.89,5
Burns,Argentina,15/10/1994,Newcastle United,13,3.96,1
Berry,Uruguay,05/06/1984,Manchester City,13,0.96,0
Young,Uruguay,13/11/1987,Manchester United,13,2.23,3
Travis,Scotland,03/04/2005,Liverpool,13,1.79,0
Holland,Germany,20/02/1996,West Ham United,13,2.2,9
Mclaughlin,Uruguay,12/11/1999,Leicester City,13,2.4,0
Porter,Netherlands,08/01/1997,Manchester City,13,4.38,12
Terry,Argentina,22/05/1988,Leicester City,13,3.33,3
Martinez,Argentina,23/02/1984,Manchester City,13,4.71,1
Miller,Germany,08/05/1985,Tottenham Hotspur,13,3.2,10
Harris,France,26/09/1998,Manchester City,13,4.91,8
Barry,Belgium,04/11/1988,Tottenham Hotspur,13,0.51,7
Rodriguez,Brazil,08/07/2002,Leeds United,13,3.63,7
Lozano,Spain,05/04/1987,West Ham United,13,3.18,15
Alexander,Germany,15/06/1985,Chelsea,13,1.03,4
Ferrell,Argentina,09/01/1987,Tottenham Hotspur,13,0.81,13
Martin,Uruguay,01/03/1997,Arsenal,13,3.83,6
Winters,Netherlands,04/02/2007,Everton,13,1.86,5
Miller,Netherlands,12/03/1987,Chelsea,13,2.37,1
Stewart,Portugal,17/05/1991,Manchester City,13,0.94,12
Flores,Denmark,10/08/1990,Leeds United,13,1.73,5
Smith,Belgium,21/01/2001,Tottenham Hotspur,13,3.31,2
Thompson,Portugal,12/07/1995,Manchester City,13,2.67,0
Frank,Portugal,04/12/2005,Manchester United,13,0.92,10
Allen,Sweden,08/11/2002,Liverpool,13,4.51,3
Sanchez,Sweden,05/10/2004,Manchester City,13,0.61,5
Sanchez,Belgium,25/10/2003,Everton,13,0.58,10
Franklin,England,16/08/1990,Leicester City,13,4.33,10
Becker,England,14/07/1989,Aston Villa,13,3.71,9
Martin,Scotland,19/04/1987,Everton,13,0.79,4
Cross,Belgium,25/07/1992,Tottenham Hotspur,13,0.96,6
Walsh,Uruguay,27/08/1990,Manchester City,13,4.91,11
Chang,Uruguay,28/10/1993,Tottenham Hotspur,13,2.3,2
Keller,Germany,12/10/1990,West Ham United,13,3.86,13
Hartman,Portugal,26/04/2001,Liverpool,13,4.61,11
Hamilton,Spain,09/12/2001,Liverpool,13,1.39,11
Brock,Netherlands,27/02/2000,Everton,13,4.7,11
Davis,Scotland,05/02/1990,Aston Villa,13,2.86,5
Ryan,Belgium,23/01/1985,Leicester City,13,2.69,10
Lee,Portugal,01/08/1998,West Ham United,13,4.19,15
Maddox,England,30/11/1998,Chelsea,13,1.5,4
Ferrell,Netherlands,19/07/1994,Manchester United,13,1.9,10
Martinez,Spain,09/01/2002,Leeds United,13,0.58,2
Paul,Denmark,25/05/1985,Newcastle United,13,1.11,3
Velasquez,Netherlands,19/07/1999,West Ham United,13,2.75,14
Garcia,Argentina,07/10/1997,Tottenham Hotspur,13,2.55,7
Harris,Italy,21/08/1999,Manchester City,13,2.1,13
Hernandez,Sweden,05/10/2002,Leeds United,13,1.44,5
Thomas,Argentina,01/11/2004,Manchester City,13,3.11,10
Martinez,Sweden,08/12/1990,Aston Villa,13,3.69,1
Bishop,Belgium,10/10/1989,Leeds United,13,4.54,15
Rodriguez,Netherlands,22/08/1991,Liverpool,13,3.57,13
Smith,Spain,25/03/1985,Liverpool,13,3.36,15
Winters,Belgium,19/07/2005,Newcastle United,13,4.08,7
Mcgrath,Netherlands,05/10/1994,Manchester United,13,4.13,10
Quinn,Uruguay,13/11/1991,West Ham United,13,2.44,8
Anderson,Scotland,06/06/2006,Chelsea,13,3,9
Meyer,France,19/11/2001,Tottenham Hotspur,13,0.59,7
Vazquez,Argentina,21/08/1988,Leicester City,13,0.67,6
Taylor,Brazil,04/07/1987,Liverpool,13,3.1,2
Anderson,France,27/12/2004,Liverpool,13,0.5,6
Warner,Argentina,17/10/1996,Manchester City,13,1.51,5
Carlson,Uruguay,04/03/1987,Newcastle United,13,2.27,9
Hicks,Belgium,16/06/1985,Everton,13,0.93,7
Compton,Scotland,02/05/1999,Arsenal,13,2.34,13
Fernandez,Sweden,29/10/2000,Leeds United,13,2.53,3
Lewis,Sweden,19/12/1985,Chelsea,13,4.35,12
Hernandez,Argentina,13/12/1994,Everton,13,1.89,8
Knight,Denmark,18/10/1990,Chelsea,13,2.56,7
Edwards,Scotland,17/09/2001,West Ham United,13,3.57,12
Jennings,Denmark,04/06/1996,Leicester City,13,4.09,14
Francis,Denmark,24/03/1985,Everton,13,2.89,15
Williams,France,27/11/1998,Tottenham Hotspur,13,2.15,12
Jones,France,05/05/1986,Manchester United,13,4.64,4
Haley,England,03/09/1995,Manchester City,13,4.4,11
Mills,Argentina,10/03/1988,Everton,13,3.75,6
Wiggins,Portugal,26/12/2000,Arsenal,13,3.24,0
Hernandez,Scotland,20/05/1996,Manchester City,13,0.78,8
Peterson,Argentina,02/04/1999,Manchester United,13,4.62,11
Garrison,Spain,16/01/2000,Leicester City,13,2.53,6
Newman,Uruguay,11/03/1994,Leicester City,13,2.01,15
Marshall,Denmark,09/02/2000,Leicester City,13,4.54,7
Brown,Netherlands,16/08/2001,Liverpool,13,2.91,7
Evans,Brazil,02/08/1994,Newcastle United,13,2.99,15
Garcia,France,12/07/2002,Liverpool,13,4.51,14
Miller,Uruguay,10/02/1994,Chelsea,13,2.94,8
Smith,Uruguay,17/11/1985,Arsenal,13,3.82,9
King,Netherlands,14/11/2004,Aston Villa,13,4.85,3
Peterson,Uruguay,04/03/1990,West Ham United,13,1.33,5
Lara,Argentina,29/01/1989,Leicester City,13,0.9,2
Valdez,France,20/03/2002,Arsenal,13,3.17,1
Marshall,Portugal,29/01/2003,Tottenham Hotspur,13,1.47,5
Lucero,Germany,14/11/1984,Manchester United,13,3.35,2
Robbins,Italy,07/08/2003,Liverpool,13,1.32,4
Reynolds,Uruguay,30/11/1985,Everton,13,2.54,2
Charles,Brazil,15/09/1984,Liverpool,13,3.68,15
Johnston,Brazil,31/07/1999,West Ham United,13,2.41,12
Velez,France,23/03/1993,Manchester City,13,2.41,11
Fry,Uruguay,03/06/1989,Tottenham Hotspur,13,1.05,3
Scott,Denmark,06/01/1987,Liverpool,13,1.49,5
Goodman,Uruguay,29/11/2001,Manchester United,13,2.04,3
Erickson,England,28/05/2001,Manchester City,13,4.99,8
Gill,Germany,10/08/2005,Arsenal,13,2.94,6
Garcia,Germany,18/03/2001,Manchester United,13,3.37,7
Montgomery,Spain,09/02/2003,Chelsea,13,1.62,10
Bullock,Italy,10/11/1991,Tottenham Hotspur,13,0.7,7
Stewart,Spain,20/08/2004,Arsenal,13,2.3,0
Kelly,Belgium,13/08/1986,Leeds United,13,1.51,9
Meadows,Argentina,10/11/1997,Leeds United,13,3.84,3
Rivera,Scotland,19/03/2000,West Ham United,13,0.8,11
Peterson,Uruguay,19/11/2005,Leicester City,13,3.58,3
Davis,France,24/03/2005,Chelsea,13,4.77,3
Sanders,England,30/10/2003,Liverpool,13,2.19,9
Simpson,France,19/03/2003,Liverpool,13,4.72,10
Jarvis,Brazil,26/12/2002,Liverpool,13,3.94,10
Garcia,Spain,13/04/2005,Newcastle United,13,1.13,8
King,Italy,20/09/1998,Aston Villa,13,2.91,12
Tanner,Portugal,21/11/1989,West Ham United,13,1.72,10
Johnson,Uruguay,24/01/1997,Liverpool,13,3.5,2
Shaw,Germany,03/09/2001,Arsenal,13,3.31,11
Carpenter,Scotland,06/03/1990,Leeds United,13,3.53,15
Olson,Netherlands,21/06/1995,West Ham United,13,3.1,8
Mercado,Uruguay,15/06/1989,Leeds United,13,2.16,5
Brown,Spain,03/11/2003,Newcastle United,13,4.2,7
Foster,Argentina,27/11/2004,Newcastle United,13,3.92,0
Johnson,Netherlands,31/01/1992,Manchester City,13,2.35,10
Davis,Italy,15/10/2002,West Ham United,13,3.88,7
Diaz,England,26/03/1998,Liverpool,13,2.09,10
Ritter,France,28/04/1991,Newcastle United,13,4.5,13
Mejia,Brazil,13/03/2000,Tottenham Hotspur,13,4.45,9
Nelson,Brazil,09/11/1990,Arsenal,13,0.54,14
Howard,Belgium,21/12/1997,Tottenham Hotspur,13,2.69,11
Pena,Germany,23/05/1994,Chelsea,13,4.44,10
Dickson,Belgium,30/12/1998,Everton,13,4.3,0
Grimes,Spain,20/12/1998,Manchester United,13,3.2,3
Thompson,Portugal,16/11/1986,West Ham United,13,1.87,12
Brown,Portugal,26/10/2002,Arsenal,13,2.21,8
Phillips,England,23/11/1992,Arsenal,13,3.51,14
Michael,Argentina,04/01/2004,Manchester United,13,0.81,5
Mason,Argentina,09/06/1985,Arsenal,13,2.08,11
Hunter,Netherlands,02/06/1992,West Ham United,13,4.57,4
Morris,Spain,30/05/1985,Everton,13,3.47,0
Williams,Scotland,09/11/1991,Arsenal,13,4.51,1
Austin,Uruguay,06/10/2000,Newcastle United,13,4.29,5
Wu,Spain,14/02/1993,Manchester City,13,4.68,4
Smith,Belgium,22/04/1996,Manchester City,13,4.82,9
Lindsey,Denmark,31/05/1993,Leicester City,13,4.76,5
Nguyen,Uruguay,22/11/1992,Liverpool,13,1.78,12
Holland,Germany,25/12/2002,Liverpool,13,1.55,3
Mcpherson,Brazil,15/08/1992,Manchester City,13,2.57,14
Richard,Portugal,15/09/1998,Aston Villa,13,1.75,8
Todd,Germany,30/03/1987,Newcastle United,13,4.78,14
Bird,Portugal,14/11/2002,Leicester City,13,1.93,15
Swanson,Uruguay,23/10/1997,Tottenham Hotspur,13,1.23,8
Hodges,Uruguay,14/11/2002,Newcastle United,13,4.95,0
Jackson,England,24/11/1990,Everton,13,1.43,1
Hamilton,Argentina,22/05/2002,Everton,13,4.44,7
Lopez,Denmark,03/03/2001,Leicester City,13,4.35,9
Evans,Denmark,22/09/1987,Arsenal,13,1.4,1
Oliver,Uruguay,27/01/1985,West Ham United,13,0.81,15
Henderson,Scotland,13/10/2005,Everton,13,3.75,5
Weiss,Spain,06/05/1998,West Ham United,13,1.38,6
Wright,Argentina,28/03/1998,Leeds United,13,1.25,10
Carter,Italy,10/11/1988,Manchester City,13,2.3,0
Brown,Argentina,07/11/2002,Leicester City,13,3.29,15
Watkins,Uruguay,17/06/2001,Newcastle United,13,1.46,5
Odonnell,France,01/11/2006,Leeds United,13,2.46,9
Lewis,Portugal,19/06/1993,Manchester City,13,4.88,4
Fisher,Denmark,11/12/1985,Liverpool,13,3.05,1
Daniels,France,29/06/1992,Manchester City,13,2.7,1
Williams,France,14/03/1995,Newcastle United,13,4.97,5
Reese,Germany,30/09/1994,Newcastle United,13,1.48,6
Harrison,Belgium,19/09/1989,Manchester City,13,2.95,14
Gardner,Sweden,07/05/1996,Arsenal,13,0.59,2
Dyer,Uruguay,08/02/2001,Manchester United,13,2.66,0
Andersen,Portugal,30/07/1995,Newcastle United,13,4.96,15
Carr,Argentina,29/04/2005,Newcastle United,13,3.25,5
Sosa,Denmark,16/02/1985,Leeds United,13,2.13,0
Abbott,Denmark,31/10/1996,Manchester City,13,1.85,13
Brooks,England,31/10/2004,Everton,13,0.78,13
Owens,Italy,03/10/1987,Manchester City,13,2.57,15
Reese,France,11/06/2005,Leicester City,13,2.1,7
Schmitt,Denmark,20/12/2000,Tottenham Hotspur,13,2.24,4
Frazier,France,12/12/2001,West Ham United,13,1.24,8
Jackson,Brazil,24/09/1989,Chelsea,13,1.36,3
Pacheco,Sweden,23/11/1984,Leicester City,13,4.32,3
Brown,England,15/11/2004,Aston Villa,13,4.85,3
Wilson,Uruguay,09/12/2002,West Ham United,13,1.87,2
Gilmore,Spain,02/12/1993,Tottenham Hotspur,13,2.69,0
Beasley,Denmark,05/10/1986,West Ham United,13,1.77,4
Jacobson,Uruguay,13/01/1985,Newcastle United,13,1.9,14
Collins,France,11/11/1991,Liverpool,13,4.95,11
Evans,France,19/08/1993,Leeds United,13,2.61,13
Gonzales,Scotland,17/07/2006,Everton,13,4.96,6
Allen,Germany,26/07/1994,Manchester City,13,3.74,3
Trevino,Netherlands,16/07/2006,Liverpool,13,4.83,7
Schroeder,Netherlands,07/07/2004,Chelsea,13,2.13,4
Orr,Argentina,07/11/2002,Everton,13,3.99,0
Reid,Argentina,23/07/1999,West Ham United,13,3.94,15
Williams,France,28/08/1999,Newcastle United,13,1.2,2
Morgan,Spain,23/01/2004,Leeds United,13,1.81,11
Maxwell,Uruguay,09/09/1988,Chelsea,13,3.72,10
Hartman,Netherlands,25/04/1994,Leicester City,13,2.37,10
Hunter,France,04/09/1994,Arsenal,13,0.77,8
Morgan,England,17/09/1984,Manchester United,13,0.62,2
Stanley,Italy,03/09/1998,Leicester City,13,0.52,1
Roberts,Netherlands,10/03/1986,Aston Villa,13,1.23,6
Ayers,Brazil,03/04/1991,Leicester City,13,0.92,13
Vasquez,Scotland,10/06/1999,Liverpool,13,2.68,5
Joseph,Sweden,10/02/2004,Liverpool,13,1.15,14
Wilson,Denmark,19/07/1999,Leicester City,13,1,13
Jones,Germany,12/07/1988,Tottenham Hotspur,13,3,1
Lee,Brazil,25/09/2006,Everton,13,3.29,12
Clark,Portugal,20/11/2003,Chelsea,13,2.03,15
Hall,France,02/04/2003,Arsenal,13,2.93,4
Rodriguez,Uruguay,01/10/2006,Aston Villa,13,2.36,5
Garcia,Portugal,03/03/1984,Chelsea,13,2.25,11
Brady,Uruguay,07/05/2005,Tottenham Hotspur,13,2.48,12
Gonzalez,Argentina,29/09/1997,Liverpool,13,1.6,12
Holder,Italy,11/07/2006,Leeds United,13,1.63,3
Willis,Denmark,22/03/1988,Manchester City,13,4.34,11
Ellison,Argentina,10/11/1987,Chelsea,13,4.39,5
Baker,Uruguay,19/08/2005,Chelsea,13,1.81,13
Rocha,Germany,22/05/1997,Tottenham Hotspur,12,1.96,0
Johnson,Germany,15/06/1988,West Ham United,12,1.63,6
Hill,Argentina,21/11/1999,Leeds United,12,2.77,12
Graham,Italy,26/01/2006,Leeds United,12,1.54,5
Fisher,Denmark,27/08/2003,Tottenham Hotspur,12,1.95,4
Ayala,Uruguay,21/05/2002,Newcastle United,12,2.91,13
Walker,Belgium,31/10/2000,Newcastle United,12,4.47,5
Willis,Denmark,17/09/1998,Aston Villa,12,2.37,11
Mccormick,Brazil,10/12/1991,Arsenal,12,2.7,14
Fleming,Belgium,18/11/1991,Arsenal,12,0.62,15
Morse,Uruguay,01/09/1984,West Ham United,12,3.8,15
Russell,Belgium,28/09/2005,Aston Villa,12,1.93,15
Brady,Spain,17/09/1990,Everton,12,3.24,8
Martinez,Denmark,21/12/1998,Everton,12,0.59,7
Williams,Sweden,05/07/1994,Newcastle United,12,4.05,1
Beard,Germany,20/11/1987,Everton,12,1.08,6
Larson,Belgium,31/03/2006,Manchester City,12,2.88,15
Gomez,Belgium,26/08/1985,Manchester United,12,2.31,14
Johnson,Germany,01/09/2003,Tottenham Hotspur,12,2.15,4
Stout,England,12/05/2006,Newcastle United,12,3.47,15
Harrell,France,16/12/1988,Manchester City,12,4.63,10
Smith,Germany,12/05/2002,Leicester City,12,0.86,3
Padilla,Denmark,18/08/1992,Arsenal,12,4.86,3
Cook,Belgium,04/02/1996,Liverpool,12,1.2,9
Fox,Argentina,19/05/2001,Everton,12,1.93,11
Wheeler,Italy,09/06/2000,Leicester City,12,2.62,13
Clark,Netherlands,04/04/1992,Manchester City,12,4.76,3
Gonzalez,England,03/05/1998,Everton,12,2.41,1
Dorsey,Brazil,19/06/1987,Everton,12,2.6,9
Miller,Spain,01/05/2004,Everton,12,2.35,10
Smith,France,13/03/1984,Arsenal,12,4.22,9
Blair,Uruguay,05/09/2006,Arsenal,12,1.34,2
Evans,Brazil,23/06/1989,Manchester United,12,2.03,9
Roy,Uruguay,08/01/2000,Everton,12,2.77,7
Martinez,France,07/04/1993,Manchester United,12,2.49,4
Rhodes,Scotland,28/12/1987,Liverpool,12,2.16,9
Martin,Argentina,14/06/2006,Manchester City,12,1.04,7
Carey,Germany,27/10/2000,Tottenham Hotspur,12,4.04,7
Pacheco,Brazil,27/09/2006,Chelsea,12,3.39,5
Osborn,Sweden,16/02/1992,Tottenham Hotspur,12,3.52,12
Myers,England,21/04/1985,Liverpool,12,4.48,6
Brown,Argentina,28/05/1996,Liverpool,12,4.11,7
Perry,Germany,30/05/1990,Chelsea,12,3.14,10
Moore,Sweden,15/03/1988,Leicester City,12,1.56,9
Padilla,Brazil,02/02/1992,Everton,12,3.98,5
Patrick,Uruguay,27/03/1996,Manchester United,12,4.35,15
Jackson,Spain,02/02/1998,Chelsea,12,4.63,8
Lane,England,23/06/1993,Chelsea,12,3.02,8
Richardson,Denmark,23/10/1985,Liverpool,12,2.83,15
Elliott,Uruguay,11/02/1999,Newcastle United,12,2.34,2
Chapman,Brazil,08/10/1991,Tottenham Hotspur,12,4.5,0
Miller,Scotland,12/09/1995,Liverpool,12,3.4,9
Johnson,Germany,21/08/1989,Liverpool,12,2.91,7
Miller,Argentina,04/07/2000,Aston Villa,12,2.46,1
Bauer,Portugal,11/09/2005,Tottenham Hotspur,12,3.06,8
Mendez,Denmark,19/09/1993,Manchester United,12,2.48,0
Mills,Sweden,01/04/2002,Manchester United,12,1.26,9
Rodriguez,Netherlands,22/05/1998,Leicester City,12,4.72,15
Levy,Brazil,22/07/1992,Manchester City,12,4.72,1
Chen,France,06/01/1991,Liverpool,12,1.11,8
Allen,Uruguay,21/11/1999,Everton,12,3.29,2
Cline,Belgium,24/11/1999,Aston Villa,12,3.31,7
Maldonado,Scotland,02/05/1997,Manchester City,12,3.57,14
Green,Italy,23/01/2001,Manchester United,12,4.01,15
Nicholson,England,12/10/2000,Manchester City,12,1.24,9
Lee,Spain,23/08/1995,Everton,12,1.92,7
Deleon,Denmark,28/06/1991,Newcastle United,12,2.36,0
Bennett,Argentina,21/01/2000,Chelsea,12,3.8,14
Mccullough,Portugal,26/07/1999,Manchester City,12,3.21,9
Norton,Argentina,04/02/1996,Arsenal,12,4.7,7
Meyer,England,18/11/1998,Aston Villa,12,4.96,4
Torres,Germany,03/11/2006,Everton,12,1.66,9
Martinez,France,10/11/1986,Newcastle United,12,4.4,13
Flores,Italy,08/01/1995,Aston Villa,12,2.38,10
Moore,Brazil,14/09/1984,Everton,12,0.83,4
Rojas,Portugal,30/03/1996,Chelsea,12,1.76,11
Rodriguez,Netherlands,17/07/1987,Aston Villa,12,4.8,13
Moore,France,07/03/1996,Manchester City,12,3.26,9
Thomas,Scotland,02/02/2004,Manchester City,12,3.64,3
Matthews,England,02/04/1997,Chelsea,12,2.05,0
Summers,Scotland,27/09/1998,Everton,12,3.91,8
Carey,France,12/10/1991,Liverpool,12,2.32,9
Henry,Scotland,14/04/1984,Leicester City,12,3.82,13
Andrews,Belgium,30/12/2003,Aston Villa,12,1.55,12
Hoffman,Netherlands,30/11/2005,Tottenham Hotspur,12,2.13,14
Wilkerson,Belgium,20/05/1992,Newcastle United,12,3.41,2
Walters,Scotland,18/06/1998,Manchester City,12,2.74,4
Zimmerman,England,30/06/1992,Leeds United,12,2.53,3
Vega,England,18/01/1992,West Ham United,12,0.98,10
Caldwell,England,15/01/2002,Leicester City,12,4.9,7
Sullivan,Netherlands,25/05/1989,Chelsea,12,3.75,7
Moore,France,30/01/1986,Manchester City,12,2.12,3
Jordan,Scotland,21/04/2001,Liverpool,12,1.4,14
King,England,10/12/1984,Arsenal,12,4.74,5
Lee,Netherlands,20/02/1993,Newcastle United,12,4.03,0
Dougherty,Italy,16/09/1992,West Ham United,12,2.38,5
Young,Belgium,21/02/2002,Manchester City,12,3.76,8
Nelson,Sweden,02/04/1997,Liverpool,12,4.26,1
Morgan,Germany,20/12/2005,Chelsea,12,4.19,15
Ramirez,Scotland,08/09/2000,Leicester City,12,0.71,3
Pena,England,28/05/1988,Manchester United,12,1.51,15
Hernandez,Uruguay,05/07/2006,Leeds United,12,3.87,5
Gomez,Argentina,09/10/1988,Manchester United,12,0.99,11
Martinez,Denmark,11/04/1990,West Ham United,12,4.46,11
Miller,Belgium,09/06/1987,Everton,12,2.36,5
Martinez,Netherlands,29/07/1987,Manchester United,12,2.89,11
Vasquez,France,12/10/2005,Leicester City,12,3.65,6
Buchanan,Uruguay,14/04/1997,West Ham United,12,1.58,15
Ayala,Sweden,07/03/1994,West Ham United,12,3.48,9
